qid,label
Q1413685,Filipino Americans
Q1413694,Philippine English
Q1417088,Iñupiaq people
Q141817,German Americans
Q14184174,Southern Languedocian
Q14185,Occitan
Q14196,Afrikaans
Q142,France
Q1420205,Pulaar
Q1421205,Lithuanian Jews
Q1422423,varieties of Arabic
Q1424118,Helsinki slang
Q142702,Malays
Q142897,Zaza people
Q1429504,Kickapoo
Q143,Esperanto
Q1431089,Croats of Bosnia and Herzegovina
Q1431998,Wayampi people
Q143231,Vietnamese Germans
Q1437354,Luo
Q1437595,Sauk people
Q1440169,Meskwaki
Q1450506,Canadian French
Q14507109,Portuguese-based creole languages
Q145099,Schleifer dialect
Q1454599,Simplified Technical English
Q14549,Scots
Q1455628,Karuk
Q1456583,Washo people
Q145665,Manchu
Q1456870,Nlaka'pamux
Q1461092,Finland Swedish
Q1464994,Latino
Q146521,Sorbs
Q1465745,German New Zealanders
Q1466276,Hausa-Fulani
Q146744,Copts
Q146803,Lingua Franca Nova
Q14708404,Cherokee Nation
Q147085,Anatolian
Q1472196,Early Modern English
Q147239,Kashubians
Q1473289,Middle French
Q147401,Zapotec
Q147540,Székelys
Q14759,American Sign Language
Q1477754,Gonja people
Q1478209,Ogoni people
Q1478672,Mende
Q1479279,Tongva people
Q148,People's Republic of China
Q148004,Zarma people
Q1480041,Tainui
Q1480152,Swiss French
Q14802184,Syrian Argentines
Q1482397,Nupe people
Q1483997,Kambeba
Q1484689,Volga Tatars
Q14874943,English River First Nation
Q14875067,Skownan First Nation
Q148971,Interslavic
Q149208,East Frisian Low Saxon
Q1493185,Tonkawa
Q1496534,Gay
Q1496597,Southern Kurdish
Q1496762,Gbaya people
Q14986561,Amazofonia
Q1499115,Hinglish
Q15,Africa
Q150,French
Q1503845,Croats in the Czech Republic
Q15055500,Lebanese Mexicans
Q15065,Malaysian Malay
Q15085,Piedmontese
Q15087,Arpitan language
Q1509140,Okanagan people
Q1515972,Modoc people
Q151660,Ruhrdeutsch
Q1516642,Lebanese Arabic
Q1516803,Miskito
Q1517194,Nubian
Q1517496,Iowa people
Q1520094,Hunkpapa
Q1520098,Kainai Nation
Q15215155,nisei
Q1523166,Plains Apache
Q1526530,Aguaruna
Q152965,Silesian German
Q15307583,Ghanaians
Q153139,Eifel dialects
Q1534429,Q'eqchi' people
Q153557,Kakwa people
Q1537653,Ho-Chunk
Q1540453,Yakama
Q1541828,Riffian people
Q15478520,Old Catalan
Q1550384,Kutenai people
Q1550492,Kewa Pueblo
Q1553250,Scottish English
Q1554625,Gunditjmara people
Q1555069,Cherkess
Q1555188,Gurindji people
Q1555902,Adyghe people
Q155645,Varhadi
Q15571255,indigenous peoples of North America
Q15623651,Signed Polish
Q1562783,Maldivians
Q1563033,Wolastoqiyik
Q15630880,Mixtec
Q1564956,Serbs in Slovenia
Q1564992,Serbs of Montenegro
Q15665389,Tunumiisut
Q1567862,Iraqis
Q1568,Hindi
Q1569973,Haketia
Q1570945,Mandar people
Q1571,Marathi
Q157139,Baltic Germans
Q1572210,Mbya Guarani
Q1572622,Waorani people
Q1572875,Oneida
Q1572989,Hamburger Dialect
Q1573591,Sayisi Dene
Q15763,Circassians
Q1578980,Thai Malays
Q1584458,Bisayan
Q15863,Slovenes
Q1588618,Two Kettles
Q15899756,Xiapu dialect
Q159,Russia
Q15902531,Chongqing dialect
Q15949440,West Indians
Q15980602,Romani people in Bosnia and Herzegovina
Q16001438,懷寧話
Q16007968,Afghans
Q16056484,Malaysian Americans
Q16077801,Xiongnu people
Q160894,Spaniards
Q16102016,Czech Germans
Q16109294,Kitigan Zibi Anishinabeg
Q16111415,Halq’emeylem
Q16112212,Croats in Austria
Q16116629,Russia Buriat
Q16129257,Eastern European Jewry
Q16147131,Afro-Saint Lucians
Q16148322,Cornish Canadians
Q16148367,Dakota people
Q16149615,African-American Jews
Q16149883,Maltese American
Q16150470,Bermudian Americans
Q16151239,White Angolans
Q16151308,White Dominicans
Q16151422,Luxembourgish Canadians
Q16151568,Middle Eastern Americans
Q16152214,Moroccan Jews
Q16152605,Eritrean Americans
Q16153767,Afro-Curaçaoan
Q16155102,Nigerians
Q1616241,Liberian English
Q161652,Japanese people
Q1617,Urdu
Q16171951,Koreans in China
Q16191909,Palestinian Canadians
Q1619364,Indo-Surinamese
Q16200984,Nigerians in Ireland
Q16201253,Algerian Canadians
Q16201677,Swiss Canadians
Q16202212,Venezuelans in Spain
Q16202252,Nigerian Canadians
Q16204670,quilombola
Q16210183,Inuktitut
Q16211886,Wemba-Wemba
Q1624231,Hokkien
Q16282033,Tetsuo
Q1633149,Soviet people
Q16334334,Yugambeh
Q1634930,Yanktonai
Q163629,Ethiopian Semitic
Q163943,Druze Faith
Q1639998,Warlpiri
Q1640329,Kalderash
Q1641543,Romagnol
Q1645721,Iranians in Germany
Q1645980,Jats
Q164667,Arabian
Q164714,Danes
Q164854,Podlachian
Q1649362,Mishnaic Hebrew
Q1649537,Modern English
Q1649613,Vivaro-Alpine
Q1650456,Mbosi people
Q165192,Swedes
Q165235,Bosnians
Q165320,Cocopah people
Q1654327,Classical Arabic
Q1655283,Tausug people
Q1656014,Tiwi
Q1656595,Kom
Q165795,Kven
Q1661504,Croats in Uruguay
Q166176,Nenets
Q16639243,Tesuque
Q16640584,Tlahuica
Q1669630,Qumran Hebrew
Q16702592,Koreans in Ukraine
Q16707702,Nicaraguan Spanish
Q1672477,Iranian peoples
Q1673765,Skolts
Q167420,Croats
Q16761398,Serbian Russians
Q16768972,Chinese Italian
Q16799549,Latin Americans
Q1680351,Sihasapa
Q16821119,Ethiopian Canadians
Q16833621,Argentine Canadians
Q16839420,Goans
Q168499,Korean Canadians
Q1686766,Yemeni Arabic
Q16870089,Gallego
Q16882745,Mbukushu
Q16888615,Nawayathi
Q16932703,Germans from Russia
Q1693444,Germans of Serbia
Q16937253,Kalderash Romani
Q16945676,Warumungu Sign Language
Q16950006,Colombian Canadians
Q16957,German Democratic Republic
Q16960413,Afro-Belgians
Q16963970,Slavic Muslims
Q17006555,Caribbean people
Q17006600,Old Burmese
Q1701590,Ngunnawal people
Q17015980,Romanians in Serbia
Q170217,Czechs
Q170284,Finns
Q17034148,Shaanxi Mandarin
Q170352,Transylvanian Saxons
Q170355,Indigenous Australians
Q1703953,Swampy Cree
